✓,Data,Time(min),Materia,Assunto,Tarefa,Material,Descr
TRUE,2/4/2020 12:39:19,82,Contabilidade,,Revisão,Hora da Verdade Sefaz-AL,
TRUE,2/4/2020 16:13:28,70,Direito Administrativo,,Revisão,Hora da Verdade Sefaz-AL,
TRUE,2/4/2020 18:14:21,72,Economia,,Revisão,Hora da Verdade Sefaz-AL,
TRUE,2/4/2020 18:51:23,18,,,Memo,,
TRUE,2/5/2020 8:38:21,40,Direito Civil,,Revisão,Hora da Verdade Sefaz-AL,
TRUE,2/5/2020 10:18:26,50,Direito Civil,,Revisão,Hora da Verdade Sefaz-AL,
TRUE,2/5/2020 11:22:30,57,Auditoria,,Revisão,Maratona Gran Cursos Sefaz-AL,
TRUE,2/5/2020 15:28:37,40,Informática,,Revisão,Maratona Gran Cursos Sefaz-AL,
TRUE,2/5/2020 16:55:00,70,Direito Tributário,,Revisão,Maratona Gran Cursos Sefaz-AL,
TRUE,2/5/2020 18:29:42,50,Contabilidade,,Revisão,Maratona Gran Cursos Sefaz-AL,
TRUE,2/6/2020 8:10:51,23,Legislação Tributária,,Revisão,Maratona Gran Cursos Sefaz-AL,
TRUE,2/6/2020 9:57:32,60,Legislação Tributária,ICMS,Revisão,PE 11 (SEFAZ-AL),
TRUE,2/6/2020 11:22:21,49,Legislação Tributária,ICMS,Revisão,PE 12 (SEFAZ-AL),
TRUE,2/6/2020 16:56:26,35,Legislação Tributária,ICMS,Revisão,PE 13 (SEFAZ-AL),
TRUE,2/6/2020 17:44:14,31,Legislação Tributária,ICMS,Revisão,PE 15 (SEFAZ-AL),
TRUE,2/6/2020 18:08:17,17,Legislação Tributária,ICMS,Revisão,PE 16 (SEFAZ-AL),
TRUE,2/11/2020 18:36:55,30,,,Memo,,
TRUE,2/12/2020 11:05:56,30,Direito Administrativo,Regime diferenciado de contratações: ME e EPPs,Leitura,Aula 10 (RFB20),
TRUE,2/12/2020 11:39:16,30,Direito Administrativo,Regime diferenciado de contratações: ME e EPPs,Leitura,Aula 10 (RFB20),
TRUE,2/12/2020 16:28:43,36,Direito Administrativo,Regime diferenciado de contratações: ME e EPPs,Leitura,Aula 10 (RFB20),
TRUE,2/12/2020 17:29:25,25,Informática,Geral,Questões,TEC,
TRUE,2/12/2020 18:03:07,25,Contabilidade,DFC,Questões,PE 09 (SEFAZ-DF) | Aula 12 (SEFAZ-SP),
TRUE,2/12/2020 22:20:25,30,,,Memo,,
TRUE,2/13/2020 7:17:03,25,Auditoria Fiscal,Procedimentos em Auditoria,Revisão,PE 11 (SEFAZ-DF),
TRUE,2/13/2020 9:21:49,29,Direito Financeiro,Lei de Responsabilidade Fiscal,Revisão,PE 18 (SEFAZ-DF),
TRUE,2/13/2020 11:38:56,30,Direito Civil,"LINDB, Lei de Introdução ao Código Civil",Leitura,Aula 00 (RFB20),
TRUE,2/13/2020 12:11:03,30,Direito Civil,"LINDB, Lei de Introdução ao Código Civil",Leitura,Aula 00 (RFB20),
TRUE,2/13/2020 15:42:17,25,Direito Tributário,Geral,Questões,TEC,
TRUE,2/13/2020 16:20:53,25,Direito Administrativo,Improbidade Administrativa,Questões,PE 14 + Aula 10 (SEFAZ-DF),
TRUE,2/13/2020 17:18:51,30,,,Memo,,
TRUE,2/13/2020 18:15:22,30,,,Memo,,
TRUE,2/14/2020 10:30:59,30,Administração Financeira e Orçamentária,Receita Pública,Leitura,Aula 05 (TCDF),
TRUE,2/14/2020 11:01:34,30,Administração Financeira e Orçamentária,,Leitura,Aula 05 (TCDF),
TRUE,2/14/2020 12:32:03,30,Administração Financeira e Orçamentária,,Leitura,Aula 05 (TCDF),
TRUE,2/14/2020 15:14:49,30,Auditoria Governamental,Auditoria Governamental,Questões,PE 00 (TCDF),
TRUE,2/14/2020 15:51:08,25,Direito Administrativo,Geral,Questões,TEC,
TRUE,2/14/2020 16:40:16,25,Contabilidade Pública,Plano de Contas PCASP,Revisão,PE 14 (SEFAZ-DF),
TRUE,2/14/2020 17:12:02,17,Contabilidade de Custos,"Sistemas de custeio, ABC",Revisão,PE 01 (SEFAZ-DF),
TRUE,2/14/2020 17:45:42,26,,,Memo,,
TRUE,2/15/2020 8:46:13,25,Direito Administrativo,Lei 8.666 Licitação Pública,Lei Seca,,
TRUE,2/15/2020 9:41:54,25,Contabilidade,CPC 04,Lei Seca,Detonando os CPCs,
TRUE,2/15/2020 11:43:27,25,Direito Financeiro,Progressivo,Questões,PE 03 (SEFAZ-DF),
TRUE,2/15/2020 12:18:34,25,Contabilidade,Escrituração de operações típicas,Questões,Aula 08 (SEFAZ-SP),
TRUE,2/15/2020 15:16:53,30,Economia,Teoria da Produção,Leitura,Aula 03 (TCDF),
TRUE,2/15/2020 15:35:52,15,Economia,Teoria da Produção,Leitura,Aula 03 (TCDF),
TRUE,2/15/2020 16:21:43,45,Economia,Teoria da Produção,Questões,Aula 03 (TCDF),
TRUE,2/15/2020 17:31:59,25,Direito Financeiro,Lei de Responsabilidade Fiscal,Revisão,PE 15 (SEFAZ-DF),
TRUE,2/15/2020 18:07:32,25,Informática,BPM,Revisão,PE 08 (SEFAZ-DF),
TRUE,2/15/2020 18:44:44,30,,,Memo,,
TRUE,2/15/2020 19:22:17,30,,,Memo,,
TRUE,2/16/2020 8:55:32,25,Contabilidade,DVA,Questões,Aula 11 (SEFAZ-SP),
TRUE,2/16/2020 9:35:39,25,Contabilidade,Avaliação do Ativo,Questões,Aula 06 (SEFAZ-SP),
TRUE,2/16/2020 11:46:22,30,Direito Constitucional,Administração Pública,Leitura,Aula 06 (AFRFB),Aula atualizada após ec 103/19
TRUE,2/16/2020 12:22:03,30,Direito Constitucional,Administração Pública,Leitura,Aula 06 (AFRFB),
TRUE,2/16/2020 15:29:45,25,Matemática Financeira,Geral CESPE,Questões,TEC,
TRUE,2/16/2020 16:27:27,38,Contabilidade,Critérios de Avaliação do Ativo e Passivo,Questões,Aula 05 (SEFAZ-SP),
TRUE,2/16/2020 17:13:16,30,Direito Civil,LINDB,Leitura,"Aula 00 (RFB20), PE 00 (TCDF pre)",
TRUE,2/16/2020 18:06:16,30,Direito Civil,LINDB,Questões,Aula 00 (RFB20),
